Artifact ID;Title;Description;Image Name;Model Name;Description Enriched;Location
23;Painted vessel;Painted vessel in the Bonn Collection of the Americas (Inv. Hn 54)  The black vessel has a bell-shaped body. The neck is painted black and the background of the body ochre. The main body shows a red line under the neck, underneath the black dividing line there is a red stripe. On the ochre background is paintd a kind of red sun with face and leg-like black sun rays. The face of the sun stick out the tongue and the eyes are wide open. Two more faces are painted on the background, which are identical to the first face, but in reversed colour (black sun with red leg-like sun rays). The place of origin is unknown. The vessel belongs to the collection of Teddy Hahn.;painted_vessel;Painted_vessel;This painted vessel, part of the Bonn Collection of the Americas, exemplifies the rich tradition of ceramic art found across ancient civilizations, despite its unknown origins. Featuring a distinctive bell-shaped body, the vessel captures attention with its vivid color contrasts and intricate designs.\n\nThe neck of the vessel is coated in a deep black paint, which gracefully transitions to an ochre background on the body. What sets this piece apart is the elaborate decoration that encircles the body. Just below the neck, a striking red line marks the beginning of the decorative band. This line is followed by a black dividing stripe and an additional red stripe, creating a structured yet visually engaging motif.\n\nThe primary decorative element on the ochre background is a stylized sun motif with a uniquely animated character. This sun, rendered in red, displays a face that dramatically sticks out its tongue and features wide-open eyes, imbuing the vessel with a sense of energy and vitality. The sun's rays are depicted as leg-like and black, contrasting starkly against the sun's red face.\n\nIn a fascinating twist of artistic expression, two additional faces are painted on the background. These faces mirror the central sun but are presented in reverse colors—a black sun with red, leg-like rays. This use of inverted colors not only enhances the visual appeal of the vessel but also adds an element of symmetry and balance to the design.\n\nWhile the origin of this piece remains a mystery, its presence in the Teddy Hahn Collection suggests its significance and value. This vessel is a testament to the artistic skills and creative visions of its unidentified makers, offering a glimpse into a past culture through its evocative and enduring artistry.;13.692940, -89.218191
24;Vessel with anthropomorphic application;Vessel with anthropomorphic application in the Bonn Collection of the Americas (Inv. Hn58)  The polychrome painted oval vessel has no recognizable opening and a figure sitting on top in a cross-legged posture. The figure is held in a black body with white face and is holding a musical instrument or corn in her hands. The main body of the vessel is decorated in the upper part, on both sides of the figure with geometric motifs in a combination of dark stripes with dotted triangles in light ocher, which are alternately flanked with red stripes and black lines. At the base of the figure is an element painted with diagonally crossed black lines forming a kind of net. The lower oval half of the main body of the vessel begins with a wide light ocher stripe, followed by an area in a dark ocher color that merges into a narrow base. The place of origin is unknown and it belongs to the collection of Teddy Hahn.;vessel_with_anthropomorphic_application;Vessel_with_anthropomorphic_application;This unique polychrome painted vessel from the Bonn Collection of the Americas features an intriguing anthropomorphic application that adds a personal touch to the artifact. The vessel itself is oval in shape, unique in that it lacks any obvious opening, creating an alluring sense of mystery about its use and function.\n\nSitting atop the vessel is an evocative figure portrayed in a meditative cross-legged posture. Notably, this figure contrasts starkly against the vessel’s main body, as it is painted completely black save for a starkly white face, enhancing its dramatic visibility and impact. The figure is depicted engaging in an activity, either playing a musical instrument or holding corn, which invites speculation about its cultural and ceremonial significance, potentially hinting at themes of sustenance or entertainment in the cultural context from which it originates.\n\nThe decoration on the vessel is both intricate and symbolic, characterized by geometric motifs that adorn the upper part of the main body, flanking the seated figure. These motifs, consisting of dark stripes interspersed with dotted triangles in light ocher, are further highlighted by alternating flanks of red stripes and black lines, adding a vibrant complexity to the artifact. Below the figure, an element painted with diagonally crossed black lines creates a net-like effect, adding to the textural diversity of the vessel’s surface.\n\nThe lower oval half transitions from a broad light ocher stripe into a dark ocher zone, gradually tapering into a narrowly based structure that supports the vessel. The coloration choices and the design techniques utilized in this vessel not only reflect artistic craftsmanship but also may provide insights into the color symbolism and aesthetic preferences of its creators.\n\nThe exact origin of this captivating piece remains unknown, adding an element of mystery and wide-open possibilities for interpretation. It is part of the esteemed Teddy Hahn collection, suggesting its significant value and the collector's interest in preserving such extraordinary examples of cultural artistry. This vessel is not just a container, it is a narrative piece that bridges the present with the past, inviting viewers to delve into the life and times of its creators.;14.634915, -90.506882
26;Vessel with inscription;This vessel is from the Egyptian Museum of the University of Bonn (Inv. No. BoSAe QH 109/370). It was found during the work of the University of Bonn in the Qubbet el-Hawa in a shaft of the grave QH 109. It dates to the late Old Kingdom (around 2300 BC) and its inscription reads: tigernut, christthorn fruit and balanites from the only friend and preacher Sabni, son of Count Mechu.;vessel_with_inscription;Vessel_with_inscription;This vessel, originating from the significant archaeological site of Qubbet el-Hawa, holds a remarkable connection to the late Old Kingdom of Egypt, around 2300 BC. Discovered in the shaft of grave QH 109 during an excavation conducted by the University of Bonn, this artifact stands as a testament to the era's burial customs and religious practices.\n\nThe vessel is inscribed with a poignant dedication that lists contents such as tigernut, christthorn fruit, and balanites. These items were likely intended as offerings for the deceased, reflecting the ancient Egyptian belief in providing for the afterlife. The inscription also reveals the name of the individual who was remembered through these burial goods: Sabni, referred to as the only friend and preacher, who was the son of Count Mechu. This title not only underscores Sabni's revered social status but also hints at the close personal and possibly spiritual connections within the upper echelons of ancient Egyptian society.\n\nSuch artifacts offer invaluable insights into the cultural and religious intricacies of ancient Egypt, showcasing how relationships and social hierarchy influenced funerary practices. Through this vessel, we glimpse the personal stories intertwined with broader historical narratives, enhancing our understanding of the civilizations along the Nile so many millennia ago.;24.082580, 32.887209
27;Mycenaean kylix;Mycenaean kylix in the Academic Art Museum Bonn (Inv. Nr. 2108)  The Mycenaean kylix, dated between 1400 and 1340/15 BC, was possibly produced on the island of Rhodes. The findspot is not known. The kylix has a flat foot with a conic stem which merges to a conic body. The vertical strap handles connect the lid of the vessel and its body. The foot, stem and lid of the vessel show broad circumferential stripes. The body shows on each side between the handles three snail shells, consisting of an elongated triangle and five to nine loops. The interspace is filled with dots. On each side between the handles there are also hooked, C-shaped spirals. The image is closed at the bottom by six narrow circumferential lines.;mycenaean_kylix;Mycenaean_kylix;This Mycenaean kylix, dating from 1400 to 1315 BC, is a remarkable example of ancient craftsmanship, likely originating from the island of Rhodes, although its exact findspot remains unknown. Characterized by its distinctive structure, the kylix features a flat foot that gracefully transitions into a conical stem, leading up to a similarly conical body. This design is complemented by vertical strap handles that effortlessly connect the body of the vessel to its lid, highlighting the functional yet aesthetically pleasing aspects of its form.\n\nAdorned with intricate decorations, the vessel exhibits broad circumferential stripes on the foot, stem, and lid, adding a rhythmic contrast to the overall design. The body of the kylix, beautifully decorated, displays on each side between the handles three stylized snail shells. These shells are artistically represented by an elongated triangle base from which five to nine loops emanate, creating a dynamic visual effect. The spaces between these motifs are meticulously filled with dots, enhancing the textural depth of the vessel.\n\nMoreover, each side of the kylix between the handles is also adorned with hooked, C-shaped spirals, adding a geometric complexity to the design. These spirals, coupled with the snail shell designs, encapsulate the artistic vocabulary prevalent in Mycenaean pottery of this era. Finally, the decoration is framed at the bottom by six narrow circumferential lines, providing a structured closure to the ornate narrative depicted on the vessel.\n\nThis kylix not only serves as a utilitarian object but also as a testament to the sophisticated artistry and symbolic expressions of the Mycenaean civilization, reflecting their skills and aesthetic preferences in ceramic production.;36.434963, 28.217483
28;Zapotec ceramic vessel;Vessel in the Bonn Collection of the Americas at the University of Bonn (Inv. GB 278)  Zapotec ceramic vessel in the form of anthropomorphic figure from the Oaxaca valley in Mexico.;zapotec_ceramic_vessel;Zapotec_ceramic_vessel;This intriguing ceramic vessel belongs to the culturally rich Zapotec civilization, originating from the Oaxaca Valley in Mexico. Designed in the form of an anthropomorphic figure, this artifact not only serves as a container but also as a significant representation of Zapotec iconography and religious beliefs. \n\nThe figure depicted in the vessel might represent a deity or an important personage within the Zapotec community, suggestive of the social or ritualistic role it played in its original context. The precise modeling of the vessel indicates the high level of craftsmanship and the detailed artistic expression characteristic of Zapotec ceramic arts. The use of natural clay and traditional firing techniques would have imparted this vessel its distinct texture and durability, key attributes that have allowed it to survive through centuries.\n\nThis piece is an extraordinary example of the synthesis of utilitarian function and profound symbolism, providing an invaluable insight into the daily and spiritual lives of the Zapotec people. It highlights their expertise in ceramic production and their deep connection to their religious and cultural beliefs.;17.059417, -96.721622
29;Male head from an Etruscan Tomb;Male head from an Etruscan Tomb in the Museum of the University of Tübingen, Inv. 5801;male_head_from_an_etruscan_tomb;Male_head_from_an_etruscan_tomb;This striking piece represents a male head, thought to have been originally part of a larger statue that adorned an Etruscan tomb. The artifact, now housed in the Museum of the University of Tübingen, showcases the artistic prowess of the Etruscans, an ancient civilization of Italy, renowned for their sculpture and tomb decorations. The face is detailed with features that highlight the Etruscan style of artistry, characterized by its unique blend of naturalism and stylized techniques. \n\nThis artifact not only serves as a testament to the Etruscan's skill in terracotta and stone but also offers a glimpse into the cultural and religious aspects of their society, where the commemoration of the deceased was of profound significance. The preservation of this head helps us understand more about the identity and the aesthetic preferences of the Etruscans, as well as their rituals surrounding death and the afterlife.;42.719748, 12.110749
30;Attic Black Figured Hydria;Attic Black Figured Hydria in the Museum of the University of Tübingen, Inv. 698;attic_black_figured_hydria;Attic_black_figured_hydria;The Attic Black Figured Hydria housed in the Museum of the University of Tübingen is a classical example of ancient Greek pottery, dating back to the 6th century BCE. This particular type of vessel, known as a hydria, was primarily used for carrying water, though it was also employed in ritual contexts related to both weddings and funerals. The black-figure technique used here involves the application of a slip that turns black during the firing process, with details subsequently incised or etched into the surface, revealing the clay’s natural color beneath.\n\nThe artwork on the hydria features iconic scenes that are symbolic of everyday life and mythology in ancient Greece, possibly depicting gods, heroes, or daily Athenian life. The imagery serves not just as decoration but as a narrative device that conveyed stories and values important to the society that created it. Collectors and historians value such pieces for their incredible detail and for the light they shed on the culture and artistic practices of ancient civilizations. This exquisite piece thus not only represents a functional object of its time but also serves as a testament to the artisanal skills and aesthetic sensibilities of ancient Greek potters.;37.9838, 23.7275
31;Attic Red Figured Krater;Attic Red Figured Krater in the Museum of the University of Tübingen, Inv. 5806;attic_red_figured_krater;Attic_red_figured_krater;This Attic red-figured krater, housed at the Museum of the University of Tübingen, is a splendid example of ancient Greek vase painting, dating from the classical period. The krater, a large vessel used for mixing wine and water, showcases the exquisite artistry and craftsmanship prevalent in Athens during its zenith in the 5th century BCE.\n\nThe red-figure technique, utilized here, involves the painter applying a slip to draw figures in a naturalistic, detailed style against a contrasting black background, which emerged after the earlier black-figure technique. This method allowed for greater detail and complexity in the depiction of human and mythological figures, contributing significantly to the visual storytelling tradition of the Greeks.\n\nOn this particular krater, the scenes may depict episodes from Greek mythology, typical of the genre, illustrating the gods, heroes, or daily Athenian life that also reflects societal values and the intellectual pursuits of the time. The motifs not only served an aesthetic purpose but were also integral in reinforcing cultural norms and practices.\n\nThe vessel itself, with its elegant contours and meticulously painted figures, would have been a central piece during symposia, the social gatherings of elite men in ancient Athens where philosophy, politics, and the arts were discussed over drinks. As such, it was as much a functional item as it was a bearer of cultural and social identity.\n\nThis artifact offers invaluable insights into the artistic, cultural, and social dynamics of ancient Greece, making it an essential object for both academic study and public exhibition.;37.9838, 23.7275
32;Terracotta figurine of a dog;Terracotta figurine of a dog in the Museum of the University of Tübingen, Inv. 5668;terracotta_figurine_of_a_dog;Terracotta_figurine_of_a_dog;This exquisite terracotta figurine, housed at the Museum of the University of Tübingen, represents a dog, an animal frequently depicted in various forms of ancient art. The figurine is crafted from terracotta, a material commonly used in the ancient world due to its affordability and the ease with which it could be molded. The choice of material and the subject matter suggest that this artifact may have had domestic significance, possibly serving as a household guardian or a symbol of companionship and loyalty. \n\nThe craftsmanship visible in the figurine indicates a high level of skill, showing detailed features that capture the essence of the animal in a stylized form. This type of artifact provides valuable insight into the everyday life and artistic expression of the culture from which it originated. It not only reflects the aesthetic values of the time but also offers clues about the relationship between humans and animals in the past.;34.802075, 38.996815
33;Head of a horse;Head of a horse in the Museum of the University of Tübingen, Inv. 2760;head_of_a_horse;Head_of_a_horse;This exquisite artifact, a sculpted head of a horse, is displayed in the Museum of the University of Tübingen. It stands out as a testament to the skill and artistic vision of its creator. The sculpture captures the elegant contours and spirited expression of a horse, showcasing detailed craftsmanship in the mane, eyes, ears, and nostrils that brings this piece to life. The animal's features are rendered in a naturalistic style, likely dating back to classical antiquity, suggesting not only an aesthetic purpose but possibly a cultural or ceremonial significance as well.\n\nSculpted from a durable material, possibly marble or a finely grained stone, this artifact has withstood the test of time. The dimensions and texture suggest that it might have been part of a larger ensemble, possibly attached to a slab or a freestanding figure. Its presence in the museum provides a fascinating insight into the artistic practices of the past, allowing visitors and scholars alike to delve into the world of historical artistry and its evolving forms. \n\nThe horse head remains a vital piece in the museum's collection, drawing attention for its historical value and the undeniable craftsmanship it exhibits. It instills admiration and provides an essential link to understanding the artistic and cultural sensibilities of its era.;38.9637, 35.2433
34;Terracotta figurine of a seated goddess;Terracotta figurines of a seated goddess in the Museum of the University of Tübingen, Inv. 4837;terracotta_figurine_of_a_seated_goddess;Terracotta_figurine_of_a_seated_goddess;These exquisite terracotta figurines, housed at the Museum of the University of Tübingen, depict a seated goddess, a common subject in ancient religious iconography. The craftsmanship of the figurines highlights the skilled artistry prevalent during the period, showcasing detailed molding and delicate features that offer insight into the spiritual and cultural values of the time.\n\nThe seated position of the goddess is expressive of dignity and grace, often associated with divine authority in many ancient civilizations. The choice of terracotta as a material suggests these figurines were accessible to a broad segment of the society, reflecting widespread veneration rather than exclusive to the elite. Furthermore, such artifacts contribute significantly to our understanding of the role of gender and divinity in ancient societies, revealing how deities were integral to daily life, influencing everything from societal norms to individual behavior.\n\nThese figurines not only serve as a religious symbol but also a window into the past, allowing us to glimpse the aesthetic and spiritual world of ancient civilizations that valued the divine feminine.;34.802075, 38.996815
